"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PESI","Perma-Fix Environmental Services, Inc.","6.79","$82.46M","n/a","Basic Industries","Environmental Services","https://old.nasdaq.com/symbol/pesi",
"PPIH","Perma-Pipe International Holdings, Inc.","5.25","$42.87M","n/a","Capital Goods","Pollution Control Equipment","https://old.nasdaq.com/symbol/ppih",
"PSNL","Personalis, Inc.","22.23","$708.79M","2019","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/psnl",
"PETQ","PetIQ, Inc.","29.87","$853.44M","2017","Health Care","Other Pharmaceuticals","https://old.nasdaq.com/symbol/petq",
"PETS","PetMed Express, Inc.","31.265","$633.81M","n/a","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/pets",
"PAIC","Petra Acquisition, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/paic",
"PFSW","PFSweb, Inc.","6.12","$123.91M","1999","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/pfsw",
"PGTI","PGT Innovations, Inc.","16.58","$977.6M","2006","Capital Goods","Building Products","https://old.nasdaq.com/symbol/pgti",
"PHAS","PhaseBio Pharmaceuticals, Inc.","3.29","$96.54M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/phas",
"PHAT","Phathom Pharmaceuticals, Inc.","34.74","$889.84M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/phat",
"PAHC","Phibro Animal Health Corporation","17.6","$711.98M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/pahc",
"PHIO","Phio Pharmaceuticals Corp.","2.11","$12.2M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/phio",
"PHIOW","Phio Pharmaceuticals Corp.","0.167","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/phiow",
"PLAB","Photronics, Inc.","9.66","$634.31M","1987","Technology","Semiconductors","https://old.nasdaq.com/symbol/plab",
"PHUN","Phunware, Inc.","0.8267","$36.06M","2016","Technology","EDP Services","https://old.nasdaq.com/symbol/phun",
"PHUNW","Phunware, Inc.","0.1393","n/a","2016","Technology","EDP Services","https://old.nasdaq.com/symbol/phunw",
"PICO","PICO Holdings Inc.","8.63","$163.58M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/pico",
"PLL","Piedmont Lithium Limited","11","$127.08M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pll",
"PIRS","Pieris Pharmaceuticals, Inc.","2.1","$110.04M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/pirs",
"PPC","Pilgrim&#39;s Pride Corporation","14.38","$3.51B","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://old.nasdaq.com/symbol/ppc",
"PDD","Pinduoduo Inc.","76.64","$91.79B","2018","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/pdd",
"PME","Pingtan Marine Enterprise Ltd.","1.45","$114.63M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pme",
"PNFP","Pinnacle Financial Partners, Inc.","33.28","$2.52B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/pnfp",
"PNFPP","Pinnacle Financial Partners, Inc.","26.56","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/pnfpp",
"PT","Pintec Technology Holdings Limited","0.8699","$37.53M","2018","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/pt",
"PBFS","Pioneer Bancorp, Inc.","8.27","$214.84M","2019","Finance","Banks","https://old.nasdaq.com/symbol/pbfs",
"PPSI","Pioneer Power Solutions, Inc.","1.3","$11.34M","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/ppsi",
"PXLW","Pixelworks, Inc.","2.02","$81.63M","2000","Technology","Semiconductors","https://old.nasdaq.com/symbol/pxlw",
"PLYA","Playa Hotels & Resorts N.V.","4.03","$542.01M","n/a","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/plya",
"PLXS","Plexus Corp.","68.01","$1.99B","n/a","Technology","Electrical Products","https://old.nasdaq.com/symbol/plxs",
"PLRX","Pliant Therapeutics, Inc.","22.07","$782.25M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/plrx",
"PLUG","Plug Power, Inc.","12.075","$4.85B","1999","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/plug",
"PLBC","Plumas Bancorp","19.35","$100.2M","n/a","Finance","Finance Companies","https://old.nasdaq.com/symbol/plbc",
"PS","Pluralsight, Inc.","16.57","$2.39B","2018","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/ps",
"PSTI","Pluristem Therapeutics, Inc.","9.06","$231.53M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/psti",
"PSTV","PLUS THERAPEUTICS, Inc.","2.56","$10.94M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/pstv",
"PLXP","PLx Pharma Inc.","3.4","$31.13M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/plxp",
"PCOM","Points International, Ltd.","9.8","$129.63M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/pcom",
"POLA","Polar Power, Inc.","1.92","$21.84M","2016","Miscellaneous","Industrial Machinery/Components","https://old.nasdaq.com/symbol/pola",
